#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
STRING clusters	CL:1090	Mixed, incl. CDC42 GTPase cycle, and Rho (Ras homology) subfamily of Ras-like small GTPases	9	140	1.16	1.14	2.28e-05	8049.ENSGMOP00000003911,8049.ENSGMOP00000006558,8049.ENSGMOP00000007568,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000012990,8049.ENSGMOP00000019065,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000003911,ENSGMOP00000006558,ENSGMOP00000007568,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000012990,ENSGMOP00000019065,ENSGMOP00000020184,ENSGMOP00000021060
STRING clusters	CL:1605	Laminin interactions, and Integrin beta subunits (N-terminal portion of extracellular region)	5	18	1.79	1.32	2.99e-05	8049.ENSGMOP00000002985,8049.ENSGMOP00000003483,8049.ENSGMOP00000005306,8049.ENSGMOP00000016347,8049.ENSGMOP00000017523	ENSGMOP00000002985,LAMA3,ENSGMOP00000005306,ENSGMOP00000016347,ENSGMOP00000017523
STRING clusters	CL:318	Insulin receptor signaling pathway, and PI3-kinase family, p85-binding domain	5	24	1.67	1.17	9.04e-05	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000016837	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000016837
STRING clusters	CL:1093	Mixed, incl. CDC42 GTPase cycle, and Rho (Ras homology) subfamily of Ras-like small GTPases	8	135	1.12	1.0	0.00010	8049.ENSGMOP00000003911,8049.ENSGMOP00000006558,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000012990,8049.ENSGMOP00000019065,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000003911,ENSGMOP00000006558,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000012990,ENSGMOP00000019065,ENSGMOP00000020184,ENSGMOP00000021060
STRING clusters	CL:258	Mixed, incl. Interleukin-3, Interleukin-5 and GM-CSF signaling, and Insulin receptor signaling pathway	6	69	1.29	0.92	0.00040	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000007903,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000016837	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000007903,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000016837
STRING clusters	CL:1094	Mixed, incl. Cortical cytoskeleton organization, and CDC42 GTPase cycle	7	119	1.12	0.85	0.00053	8049.ENSGMOP00000003911,8049.ENSGMOP00000006558,8049.ENSGMOP00000009057,8049.ENSGMOP00000012990,8049.ENSGMOP00000019065,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000003911,ENSGMOP00000006558,ENSGMOP00000009057,ENSGMOP00000012990,ENSGMOP00000019065,ENSGMOP00000020184,ENSGMOP00000021060
STRING clusters	CL:251	Mixed, incl. SH2 domain, and PI3K events in ERBB2 signaling	7	129	1.08	0.8	0.00081	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000007903,8049.ENSGMOP00000013403,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000016837	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000007903,ENSGMOP00000013403,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000016837
STRING clusters	CL:320	Insulin receptor signaling pathway, and PI3-kinase family, p85-binding domain	4	19	1.67	0.9	0.00086	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000014980,ENSGMOP00000016451
STRING clusters	CL:1254	Mixed, incl. Septin ring organization, and Cdc42 protein signal transduction	4	25	1.55	0.79	0.0019	8049.ENSGMOP00000003911,8049.ENSGMOP00000009057,8049.ENSGMOP00000019065,8049.ENSGMOP00000021060	ENSGMOP00000003911,ENSGMOP00000009057,ENSGMOP00000019065,ENSGMOP00000021060
STRING clusters	CL:322	Mixed, incl. Phosphoinositide 3-kinase, region postulated to contain C2 domain, and Phosphatidylinositol 3-kinase regulatory subunit P85 inter-SH2 domain	3	7	1.98	0.8	0.0022	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000014980	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000014980
STRING clusters	CL:1606	Laminin interactions	3	12	1.75	0.65	0.0066	8049.ENSGMOP00000003483,8049.ENSGMOP00000016347,8049.ENSGMOP00000017523	LAMA3,ENSGMOP00000016347,ENSGMOP00000017523
STRING clusters	CL:1507	Protein complex involved in cell adhesion, and Fibronectin type 1 domain	4	41	1.34	0.6	0.0081	8049.ENSGMOP00000004711,8049.ENSGMOP00000005232,8049.ENSGMOP00000009025,8049.ENSGMOP00000009077	ENSGMOP00000004711,ENSGMOP00000005232,ENSGMOP00000009025,ENSGMOP00000009077
STRING clusters	CL:1257	Mixed, incl. Cdc42 protein signal transduction, and RasGAP C-terminus	3	17	1.6	0.55	0.0139	8049.ENSGMOP00000003911,8049.ENSGMOP00000009057,8049.ENSGMOP00000021060	ENSGMOP00000003911,ENSGMOP00000009057,ENSGMOP00000021060
STRING clusters	CL:8355	Histone H3-K4 methylation, and Histone H3-K27 demethylation	3	24	1.45	0.44	0.0337	8049.ENSGMOP00000000116,8049.ENSGMOP00000003815,8049.ENSGMOP00000007617	ENSGMOP00000000116,ENSGMOP00000003815,ENSGMOP00000007617
KEGG	map04510	Focal adhesion	17	300	1.1	2.02	9.04e-12	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000000797,8049.ENSGMOP00000002985,8049.ENSGMOP00000003483,8049.ENSGMOP00000004711,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006558,8049.ENSGMOP00000006664,8049.ENSGMOP00000009025,8049.ENSGMOP00000009077,8049.ENSGMOP00000014980,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000017523,8049.ENSGMOP00000020316	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000000797,ENSGMOP00000002985,LAMA3,ENSGMOP00000004711,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006558,ENSGMOP00000006664,ENSGMOP00000009025,ENSGMOP00000009077,ENSGMOP00000014980,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000017523,ENSGMOP00000020316
KEGG	map04512	ECM-receptor interaction	11	143	1.23	1.82	8.56e-09	8049.ENSGMOP00000000797,8049.ENSGMOP00000001688,8049.ENSGMOP00000002985,8049.ENSGMOP00000003483,8049.ENSGMOP00000004711,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000009025,8049.ENSGMOP00000009077,8049.ENSGMOP00000016347,8049.ENSGMOP00000017523	ENSGMOP00000000797,ENSGMOP00000001688,ENSGMOP00000002985,LAMA3,ENSGMOP00000004711,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000009025,ENSGMOP00000009077,ENSGMOP00000016347,ENSGMOP00000017523
KEGG	map04068	FoxO signaling pathway	9	198	1.01	1.05	2.35e-05	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000741,8049.ENSGMOP00000009057,8049.ENSGMOP00000013403,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000019803,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000741,ENSGMOP00000009057,ENSGMOP00000013403,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000019803,ENSGMOP00000021060
KEGG	map04810	Regulation of actin cytoskeleton	10	300	0.87	0.9	5.92e-05	8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000003911,8049.ENSGMOP00000005232,8049.ENSGMOP00000006558,8049.ENSGMOP00000011775,8049.ENSGMOP00000014980,8049.ENSGMOP00000016837,8049.ENSGMOP00000017523,8049.ENSGMOP00000020184	ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000003911,ENSGMOP00000005232,ENSGMOP00000006558,ENSGMOP00000011775,ENSGMOP00000014980,ENSGMOP00000016837,ENSGMOP00000017523,ENSGMOP00000020184
KEGG	map04520	Adherens junction	7	140	1.05	0.92	0.00016	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000009057,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451,8049.ENSGMOP00000019958,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000009057,ENSGMOP00000013403,ENSGMOP00000016451,ENSGMOP00000019958,ENSGMOP00000021060
KEGG	map04530	Tight junction	9	271	0.87	0.84	0.00016	8049.ENSGMOP00000000394,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000003929,8049.ENSGMOP00000016837,8049.ENSGMOP00000017523,8049.ENSGMOP00000019698,8049.ENSGMOP00000019958,8049.ENSGMOP00000020184	ENSGMOP00000000394,ENSGMOP00000002985,ENSGMOP00000003381,ENSGMOP00000003929,ENSGMOP00000016837,ENSGMOP00000017523,ENSGMOP00000019698,ENSGMOP00000019958,ENSGMOP00000020184
KEGG	map04070	Phosphatidylinositol signaling system	7	172	0.96	0.81	0.00043	8049.ENSGMOP00000000741,8049.ENSGMOP00000004735,8049.ENSGMOP00000007903,8049.ENSGMOP00000014980,8049.ENSGMOP00000015958,8049.ENSGMOP00000017317,8049.ENSGMOP00000019499	ENSGMOP00000000741,ENSGMOP00000004735,ENSGMOP00000007903,ENSGMOP00000014980,ENSGMOP00000015958,ENSGMOP00000017317,ENSGMOP00000019499
KEGG	map00562	Inositol phosphate metabolism	6	154	0.94	0.67	0.0020	8049.ENSGMOP00000000741,8049.ENSGMOP00000007903,8049.ENSGMOP00000014980,8049.ENSGMOP00000015958,8049.ENSGMOP00000017317,8049.ENSGMOP00000019499	ENSGMOP00000000741,ENSGMOP00000007903,ENSGMOP00000014980,ENSGMOP00000015958,ENSGMOP00000017317,ENSGMOP00000019499
KEGG	map04150	mTOR signaling pathway	7	235	0.82	0.62	0.0023	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000009057,8049.ENSGMOP00000013403,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000009057,ENSGMOP00000013403,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000021060
KEGG	map04010	MAPK signaling pathway	9	467	0.63	0.5	0.0053	8049.ENSGMOP00000000192,8049.ENSGMOP00000000394,8049.ENSGMOP00000006664,8049.ENSGMOP00000009057,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451,8049.ENSGMOP00000019803,8049.ENSGMOP00000020316,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000394,ENSGMOP00000006664,ENSGMOP00000009057,ENSGMOP00000013403,ENSGMOP00000016451,ENSGMOP00000019803,ENSGMOP00000020316,ENSGMOP00000021060
KEGG	map04114	Oocyte meiosis	5	138	0.91	0.54	0.0080	8049.ENSGMOP00000000192,8049.ENSGMOP00000000655,8049.ENSGMOP00000004735,8049.ENSGMOP00000010033,8049.ENSGMOP00000016451	ENSGMOP00000000192,ENSGMOP00000000655,ENSGMOP00000004735,ENSGMOP00000010033,ENSGMOP00000016451
KEGG	map04110	Cell cycle	5	155	0.86	0.49	0.0121	8049.ENSGMOP00000000295,8049.ENSGMOP00000000655,8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000019803	ENSGMOP00000000295,ENSGMOP00000000655,ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000019803
KEGG	map04012	ErbB signaling pathway	4	116	0.89	0.4	0.0306	8049.ENSGMOP00000000741,8049.ENSGMOP00000006558,8049.ENSGMOP00000007903,8049.ENSGMOP00000014980	ENSGMOP00000000741,ENSGMOP00000006558,ENSGMOP00000007903,ENSGMOP00000014980
KEGG	map04144	Endocytosis	8	510	0.54	0.35	0.0306	8049.ENSGMOP00000000192,8049.ENSGMOP00000003381,8049.ENSGMOP00000007573,8049.ENSGMOP00000007919,8049.ENSGMOP00000012747,8049.ENSGMOP00000013161,8049.ENSGMOP00000016451,8049.ENSGMOP00000019958	ENSGMOP00000000192,ENSGMOP00000003381,ENSGMOP00000007573,ENSGMOP00000007919,ENSGMOP00000012747,ENSGMOP00000013161,ENSGMOP00000016451,ENSGMOP00000019958
KEGG	map04914	Progesterone-mediated oocyte maturation	4	117	0.88	0.4	0.0306	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000014980,ENSGMOP00000016451
KEGG	map04910	Insulin signaling pathway	5	206	0.73	0.38	0.0309	8049.ENSGMOP00000000741,8049.ENSGMOP00000009057,8049.ENSGMOP00000013403,8049.ENSGMOP00000014980,8049.ENSGMOP00000021060	ENSGMOP00000000741,ENSGMOP00000009057,ENSGMOP00000013403,ENSGMOP00000014980,ENSGMOP00000021060
Reactome	MAP-162582	Signal Transduction	43	3555	0.43	0.71	1.10e-07	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001078,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003911,8049.ENSGMOP00000004711,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006350,8049.ENSGMOP00000006558,8049.ENSGMOP00000007440,8049.ENSGMOP00000007568,8049.ENSGMOP00000007573,8049.ENSGMOP00000007903,8049.ENSGMOP00000009057,8049.ENSGMOP00000009058,8049.ENSGMOP00000010033,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000011826,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000015596,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016837,8049.ENSGMOP00000019065,8049.ENSGMOP00000019499,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000021060,8049.ENSGMOP00000021771	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,LTBP3,ENSGMOP00000003381,LAMA3,ENSGMOP00000003911,ENSGMOP00000004711,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006350,ENSGMOP00000006558,ENSGMOP00000007440,ENSGMOP00000007568,ENSGMOP00000007573,ENSGMOP00000007903,ENSGMOP00000009057,ENSGMOP00000009058,ENSGMOP00000010033,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000011826,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000015596,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016837,ENSGMOP00000019065,ENSGMOP00000019499,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000021060,ENSGMOP00000021771
Reactome	MAP-1474244	Extracellular matrix organization	14	429	0.86	1.02	7.99e-06	8049.ENSGMOP00000000797,8049.ENSGMOP00000001078,8049.ENSGMOP00000002985,8049.ENSGMOP00000003483,8049.ENSGMOP00000003929,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000009025,8049.ENSGMOP00000009058,8049.ENSGMOP00000009077,8049.ENSGMOP00000016347,8049.ENSGMOP00000017523,8049.ENSGMOP00000018360,8049.ENSGMOP00000019803	ENSGMOP00000000797,LTBP3,ENSGMOP00000002985,LAMA3,ENSGMOP00000003929,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000009025,ENSGMOP00000009058,ENSGMOP00000009077,ENSGMOP00000016347,ENSGMOP00000017523,ENSGMOP00000018360,ENSGMOP00000019803
Reactome	MAP-170834	Signaling by TGF-beta Receptor Complex	8	108	1.22	1.16	2.68e-05	8049.ENSGMOP00000000295,8049.ENSGMOP00000001078,8049.ENSGMOP00000003381,8049.ENSGMOP00000007440,8049.ENSGMOP00000009058,8049.ENSGMOP00000013414,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958	ENSGMOP00000000295,LTBP3,ENSGMOP00000003381,ENSGMOP00000007440,ENSGMOP00000009058,ENSGMOP00000013414,ENSGMOP00000019803,ENSGMOP00000019958
Reactome	MAP-9006936	Signaling by TGFB family members	8	151	1.07	0.9	0.00023	8049.ENSGMOP00000000295,8049.ENSGMOP00000001078,8049.ENSGMOP00000003381,8049.ENSGMOP00000007440,8049.ENSGMOP00000009058,8049.ENSGMOP00000013414,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958	ENSGMOP00000000295,LTBP3,ENSGMOP00000003381,ENSGMOP00000007440,ENSGMOP00000009058,ENSGMOP00000013414,ENSGMOP00000019803,ENSGMOP00000019958
Reactome	MAP-216083	Integrin cell surface interactions	6	82	1.21	0.82	0.00088	8049.ENSGMOP00000002985,8049.ENSGMOP00000003929,8049.ENSGMOP00000005232,8049.ENSGMOP00000009025,8049.ENSGMOP00000009077,8049.ENSGMOP00000017523	ENSGMOP00000002985,ENSGMOP00000003929,ENSGMOP00000005232,ENSGMOP00000009025,ENSGMOP00000009077,ENSGMOP00000017523
Reactome	MAP-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	4	23	1.59	0.82	0.0016	8049.ENSGMOP00000000295,8049.ENSGMOP00000003381,8049.ENSGMOP00000007440,8049.ENSGMOP00000013414	ENSGMOP00000000295,ENSGMOP00000003381,ENSGMOP00000007440,ENSGMOP00000013414
Reactome	MAP-8875878	MET promotes cell motility	4	30	1.47	0.72	0.0032	8049.ENSGMOP00000003483,8049.ENSGMOP00000005306,8049.ENSGMOP00000016347,8049.ENSGMOP00000019499	LAMA3,ENSGMOP00000005306,ENSGMOP00000016347,ENSGMOP00000019499
Reactome	MAP-9006934	Signaling by Receptor Tyrosine Kinases	12	586	0.66	0.54	0.0032	8049.ENSGMOP00000000192,8049.ENSGMOP00000003483,8049.ENSGMOP00000004711,8049.ENSGMOP00000005306,8049.ENSGMOP00000007573,8049.ENSGMOP00000007903,8049.ENSGMOP00000013403,8049.ENSGMOP00000014980,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000019499,8049.ENSGMOP00000020316	ENSGMOP00000000192,LAMA3,ENSGMOP00000004711,ENSGMOP00000005306,ENSGMOP00000007573,ENSGMOP00000007903,ENSGMOP00000013403,ENSGMOP00000014980,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000019499,ENSGMOP00000020316
Reactome	MAP-426496	Post-transcriptional silencing by small RNAs	3	10	1.83	0.71	0.0043	8049.ENSGMOP00000005084,8049.ENSGMOP00000009512,8049.ENSGMOP00000013986	ENSGMOP00000005084,ENSGMOP00000009512,ENSGMOP00000013986
Reactome	MAP-6806834	Signaling by MET	5	72	1.19	0.65	0.0043	8049.ENSGMOP00000003483,8049.ENSGMOP00000005306,8049.ENSGMOP00000007573,8049.ENSGMOP00000016347,8049.ENSGMOP00000019499	LAMA3,ENSGMOP00000005306,ENSGMOP00000007573,ENSGMOP00000016347,ENSGMOP00000019499
Reactome	MAP-2555396	Mitotic Metaphase and Anaphase	8	283	0.8	0.53	0.0067	8049.ENSGMOP00000000655,8049.ENSGMOP00000003547,8049.ENSGMOP00000006350,8049.ENSGMOP00000007249,8049.ENSGMOP00000010033,8049.ENSGMOP00000014278,8049.ENSGMOP00000018687,8049.ENSGMOP00000020324	ENSGMOP00000000655,ENSGMOP00000003547,ENSGMOP00000006350,ENSGMOP00000007249,ENSGMOP00000010033,ENSGMOP00000014278,ENSGMOP00000018687,ENSGMOP00000020324
Reactome	MAP-68882	Mitotic Anaphase	8	281	0.8	0.53	0.0067	8049.ENSGMOP00000000655,8049.ENSGMOP00000003547,8049.ENSGMOP00000006350,8049.ENSGMOP00000007249,8049.ENSGMOP00000010033,8049.ENSGMOP00000014278,8049.ENSGMOP00000018687,8049.ENSGMOP00000020324	ENSGMOP00000000655,ENSGMOP00000003547,ENSGMOP00000006350,ENSGMOP00000007249,ENSGMOP00000010033,ENSGMOP00000014278,ENSGMOP00000018687,ENSGMOP00000020324
Reactome	MAP-9013149	RAC1 GTPase cycle	8	292	0.79	0.52	0.0074	8049.ENSGMOP00000003911,8049.ENSGMOP00000006558,8049.ENSGMOP00000011506,8049.ENSGMOP00000012990,8049.ENSGMOP00000015596,8049.ENSGMOP00000016837,8049.ENSGMOP00000019065,8049.ENSGMOP00000020184	ENSGMOP00000003911,ENSGMOP00000006558,ENSGMOP00000011506,ENSGMOP00000012990,ENSGMOP00000015596,ENSGMOP00000016837,ENSGMOP00000019065,ENSGMOP00000020184
Reactome	MAP-2173789	TGF-beta receptor signaling activates SMADs	4	48	1.27	0.57	0.0100	8049.ENSGMOP00000000295,8049.ENSGMOP00000001078,8049.ENSGMOP00000009058,8049.ENSGMOP00000019803	ENSGMOP00000000295,LTBP3,ENSGMOP00000009058,ENSGMOP00000019803
Reactome	MAP-8874081	MET activates PTK2 signaling	3	17	1.6	0.59	0.0102	8049.ENSGMOP00000003483,8049.ENSGMOP00000005306,8049.ENSGMOP00000016347	LAMA3,ENSGMOP00000005306,ENSGMOP00000016347
Reactome	MAP-9012999	RHO GTPase cycle	12	724	0.57	0.43	0.0105	8049.ENSGMOP00000003911,8049.ENSGMOP00000006558,8049.ENSGMOP00000007573,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000011826,8049.ENSGMOP00000012990,8049.ENSGMOP00000015596,8049.ENSGMOP00000016837,8049.ENSGMOP00000019065,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000003911,ENSGMOP00000006558,ENSGMOP00000007573,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000011826,ENSGMOP00000012990,ENSGMOP00000015596,ENSGMOP00000016837,ENSGMOP00000019065,ENSGMOP00000020184,ENSGMOP00000021060
Reactome	MAP-1566948	Elastic fibre formation	4	56	1.2	0.52	0.0144	8049.ENSGMOP00000001078,8049.ENSGMOP00000005232,8049.ENSGMOP00000009058,8049.ENSGMOP00000019803	LTBP3,ENSGMOP00000005232,ENSGMOP00000009058,ENSGMOP00000019803
Reactome	MAP-1280218	Adaptive Immune System	14	1006	0.49	0.39	0.0148	8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000003381,8049.ENSGMOP00000004735,8049.ENSGMOP00000006350,8049.ENSGMOP00000006481,8049.ENSGMOP00000007861,8049.ENSGMOP00000007903,8049.ENSGMOP00000008916,8049.ENSGMOP00000010033,8049.ENSGMOP00000014278,8049.ENSGMOP00000016134,8049.ENSGMOP00000017523,8049.ENSGMOP00000017545	ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000003381,ENSGMOP00000004735,ENSGMOP00000006350,ENSGMOP00000006481,ENSGMOP00000007861,ENSGMOP00000007903,ENSGMOP00000008916,ENSGMOP00000010033,ENSGMOP00000014278,ENSGMOP00000016134,ENSGMOP00000017523,ENSGMOP00000017545
Reactome	MAP-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	4	61	1.17	0.5	0.0174	8049.ENSGMOP00000000295,8049.ENSGMOP00000003381,8049.ENSGMOP00000007440,8049.ENSGMOP00000013414	ENSGMOP00000000295,ENSGMOP00000003381,ENSGMOP00000007440,ENSGMOP00000013414
Reactome	MAP-9013404	RAC2 GTPase cycle	5	115	0.99	0.48	0.0174	8049.ENSGMOP00000006558,8049.ENSGMOP00000011506,8049.ENSGMOP00000012990,8049.ENSGMOP00000015596,8049.ENSGMOP00000016837	ENSGMOP00000006558,ENSGMOP00000011506,ENSGMOP00000012990,ENSGMOP00000015596,ENSGMOP00000016837
Reactome	MAP-69242	S Phase	6	188	0.85	0.45	0.0182	8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000006350,8049.ENSGMOP00000013726,8049.ENSGMOP00000014278,8049.ENSGMOP00000018687	ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000006350,ENSGMOP00000013726,ENSGMOP00000014278,ENSGMOP00000018687
Reactome	MAP-69278	Cell Cycle, Mitotic	11	718	0.53	0.35	0.0294	8049.ENSGMOP00000000655,8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000006350,8049.ENSGMOP00000007249,8049.ENSGMOP00000010033,8049.ENSGMOP00000010933,8049.ENSGMOP00000013726,8049.ENSGMOP00000014278,8049.ENSGMOP00000018687,8049.ENSGMOP00000020324	ENSGMOP00000000655,ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000006350,ENSGMOP00000007249,ENSGMOP00000010033,ENSGMOP00000010933,ENSGMOP00000013726,ENSGMOP00000014278,ENSGMOP00000018687,ENSGMOP00000020324
Reactome	MAP-3000157	Laminin interactions	3	30	1.35	0.44	0.0304	8049.ENSGMOP00000003483,8049.ENSGMOP00000005306,8049.ENSGMOP00000016347	LAMA3,ENSGMOP00000005306,ENSGMOP00000016347
Reactome	MAP-2467813	Separation of Sister Chromatids	6	218	0.79	0.38	0.0344	8049.ENSGMOP00000000655,8049.ENSGMOP00000003547,8049.ENSGMOP00000006350,8049.ENSGMOP00000010033,8049.ENSGMOP00000014278,8049.ENSGMOP00000018687	ENSGMOP00000000655,ENSGMOP00000003547,ENSGMOP00000006350,ENSGMOP00000010033,ENSGMOP00000014278,ENSGMOP00000018687
Reactome	MAP-8980692	RHOA GTPase cycle	6	219	0.79	0.38	0.0344	8049.ENSGMOP00000003911,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000016837,8049.ENSGMOP00000019065,8049.ENSGMOP00000021060	ENSGMOP00000003911,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000016837,ENSGMOP00000019065,ENSGMOP00000021060
Reactome	MAP-9623433	NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis	2	6	1.87	0.44	0.0344	8049.ENSGMOP00000007440,8049.ENSGMOP00000015513	ENSGMOP00000007440,ENSGMOP00000015513
Reactome	MAP-383280	Nuclear Receptor transcription pathway	4	84	1.03	0.39	0.0395	8049.ENSGMOP00000006307,8049.ENSGMOP00000007440,8049.ENSGMOP00000015513,8049.ENSGMOP00000017194	ENSGMOP00000006307,ENSGMOP00000007440,ENSGMOP00000015513,nr2e1
Reactome	MAP-2428933	SHC-related events triggered by IGF1R	2	7	1.8	0.42	0.0408	8049.ENSGMOP00000000192,8049.ENSGMOP00000016451	ENSGMOP00000000192,ENSGMOP00000016451
